"","Signal.transduction","Signaling.molecules.and.interaction"
"ec:1.1.1.27",-0.441025563707606,-0.145864991497895
"ec:1.11.1.6",-0.441025563707606,-0.145864991497895
"ec:1.11.1.8",-0.441025563707606,6.70978960890315
"ec:1.14.13.39",0.177726719703065,-0.145864991497895
"ec:1.14.99.1",-0.234774802570715,-0.145864991497895
"ec:1.14.99.3",-0.441025563707606,-0.145864991497895
"ec:1.2.1.12",-0.441025563707606,-0.145864991497895
"ec:1.2.4.1",-0.234774802570715,-0.145864991497895
"ec:2.1.1.43",-0.441025563707606,-0.145864991497895
"ec:2.4.1.11",-0.337900183139161,-0.145864991497895
"ec:2.7.1.1",-0.13164942200227,-0.145864991497895
"ec:2.7.1.107",0.383977480839955,-0.145864991497895
"ec:2.7.1.11",-0.441025563707606,-0.145864991497895
"ec:2.7.1.127",0.0746013391346199,-0.145864991497895
"ec:2.7.1.134",-0.441025563707606,-0.145864991497895
"ec:2.7.1.137",-0.441025563707606,-0.145864991497895
"ec:2.7.1.149",-0.234774802570715,-0.145864991497895
"ec:2.7.1.150",-0.441025563707606,-0.145864991497895
"ec:2.7.1.153",3.99336580073554,-0.145864991497895
"ec:2.7.1.154",-0.234774802570715,-0.145864991497895
"ec:2.7.1.158",-0.441025563707606,-0.145864991497895
"ec:2.7.1.67",-0.13164942200227,-0.145864991497895
"ec:2.7.1.68",-0.234774802570715,-0.145864991497895
"ec:2.7.1.91",-0.13164942200227,-0.145864991497895
"ec:2.7.2.3",-0.441025563707606,-0.145864991497895
"ec:2.7.7.41",-0.337900183139161,-0.145864991497895
"ec:2.7.8.11",-0.441025563707606,-0.145864991497895
"ec:3.1.1.4",2.96211199505108,-0.145864991497895
"ec:3.1.3.25",-0.337900183139161,-0.145864991497895
"ec:3.1.3.36",-0.0285240414338252,-0.145864991497895
"ec:3.1.3.46",-0.13164942200227,-0.145864991497895
"ec:3.1.3.56",-0.234774802570715,-0.145864991497895
"ec:3.1.3.57",-0.441025563707606,-0.145864991497895
"ec:3.1.3.64",-0.441025563707606,-0.145864991497895
"ec:3.1.3.66",-0.337900183139161,-0.145864991497895
"ec:3.1.3.67",-0.13164942200227,-0.145864991497895
"ec:3.1.3.7",-0.441025563707606,-0.145864991497895
"ec:3.1.3.86",-0.337900183139161,-0.145864991497895
"ec:3.1.3.9",0.0746013391346199,-0.145864991497895
"ec:3.1.4.11",3.89024042016709,-0.145864991497895
"ec:3.1.4.17",-0.234774802570715,-0.145864991497895
"ec:3.1.4.4",-0.337900183139161,-0.145864991497895
"ec:3.6.3.14",-0.441025563707606,-0.145864991497895
"ec:4.1.1.32",-0.13164942200227,-0.145864991497895
"ec:4.1.2.13",-0.441025563707606,-0.145864991497895
"ec:4.2.1.11",-0.234774802570715,-0.145864991497895
"ec:4.6.1.1",1.10585514481907,-0.145864991497895
