ID,Goods notifications (RTAs),Services notifications (EIAs),Physical RTAs
AFG,1.0,0.0,1.0
AGO,2.0,0.0,2.0
ANT,1.0,0.0,1.0
ARE,2.0,0.0,2.0
ARG,4.0,1.0,4.0
ATG,2.0,2.0,2.0
AUS,9.0,7.0,9.0
AUT,34.0,12.0,35.0
AZE,4.0,0.0,4.0
BEL,34.0,12.0,35.0
BEN,3.0,0.0,3.0
BGD,5.0,0.0,5.0
BGR,34.0,12.0,35.0
BHS,2.0,2.0,2.0
BLR,6.0,0.0,6.0
BRA,5.0,1.0,5.0
BRN,8.0,5.0,8.0
BWA,3.0,0.0,3.0
CAN,9.0,5.0,9.0
CHE,26.0,9.0,26.0
CHL,24.0,18.0,24.0
CHN,10.0,9.0,10.0
COD,0.0,0.0,0.0
COG,1.0,0.0,1.0
COL,10.0,7.0,10.0
CRI,11.0,9.0,11.0
CYP,34.0,12.0,35.0
CZE,34.0,12.0,35.0
DEU,34.0,12.0,35.0
DNK,34.0,12.0,35.0
DOM,3.0,3.0,3.0
DZA,2.0,0.0,2.0
ECU,3.0,0.0,3.0
EGY,6.0,0.0,6.0
ESP,34.0,12.0,35.0
EST,34.0,12.0,35.0
FIN,34.0,12.0,35.0
FRA,34.0,12.0,35.0
GAB,1.0,0.0,1.0
GBR,34.0,12.0,35.0
GHA,2.0,0.0,2.0
GNQ,1.0,0.0,1.0
GRC,34.0,12.0,35.0
GTM,9.0,8.0,9.0
HND,9.0,8.0,9.0
HRV,34.0,12.0,35.0
HUN,34.0,12.0,35.0
IDN,8.0,4.0,8.0
IND,15.0,4.0,15.0
IRL,34.0,12.0,35.0
IRN,2.0,0.0,2.0
IRQ,2.0,0.0,2.0
ISR,7.0,0.0,7.0
ITA,34.0,12.0,35.0
JOR,7.0,2.0,7.0
JPN,13.0,12.0,13.0
KAZ,9.0,0.0,9.0
KGZ,8.0,0.0,8.0
KHM,6.0,3.0,6.0
KOR,12.0,8.0,12.0
LAO,8.0,3.0,8.0
LBR,1.0,0.0,1.0
LBY,2.0,0.0,2.0
LCA,2.0,2.0,2.0
LKA,6.0,0.0,6.0
LTU,34.0,12.0,35.0
LUX,34.0,12.0,35.0
LVA,34.0,12.0,35.0
MAR,6.0,1.0,6.0
MEX,13.0,9.0,13.0
MLT,34.0,12.0,35.0
MMR,7.0,3.0,7.0
MNG,0.0,0.0,0.0
MOZ,2.0,0.0,2.0
MYS,13.0,8.0,13.0
NGA,2.0,0.0,2.0
NIC,9.0,7.0,9.0
NLD,34.0,12.0,35.0
NOR,25.0,9.0,26.0
NPL,3.0,0.0,3.0
NZL,10.0,9.0,10.0
OMN,3.0,1.0,3.0
PAK,8.0,2.0,8.0
PAN,12.0,12.0,12.0
PER,16.0,11.0,16.0
PHL,9.0,4.0,9.0
PNG,5.0,0.0,5.0
POL,34.0,12.0,35.0
PRK,1.0,0.0,1.0
PRT,34.0,12.0,35.0
PRY,4.0,1.0,4.0
QAT,2.0,0.0,2.0
ROM,34.0,12.0,35.0
RUS,16.0,0.0,16.0
SAU,2.0,0.0,2.0
SDN,3.0,0.0,3.0
SGP,21.0,17.0,21.0
SLV,10.0,8.0,10.0
SRB,6.0,1.0,6.0
SVK,34.0,12.0,35.0
SVN,34.0,12.0,35.0
SWE,34.0,12.0,35.0
SYR,3.0,0.0,3.0
TCD,1.0,0.0,1.0
THA,11.0,6.0,11.0
TTO,3.0,2.0,3.0
TUN,6.0,0.0,6.0
TUR,20.0,0.0,20.0
UKR,16.0,2.0,16.0
URY,5.0,2.0,5.0
USA,14.0,13.0,14.0
UZB,4.0,0.0,4.0
VEN,3.0,0.0,3.0
VNM,8.0,4.0,8.0
YEM,1.0,0.0,1.0
ZAF,4.0,0.0,4.0
ZMB,2.0,0.0,2.0
ZWE,4.0,0.0,4.0
